ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
307,Mario Chalmers,2106407,MEM,31,62,20,42,21.8,7.7,2.6,6.8,37.9,0.8,2.9,28.1,1.7,2,85.6,0.2,2.2,2.4,3,1.8,1.2,0.2,2.8,17.5,1,0,-1,G,USA,2,34,1
308,Darius Miller,2100000,NOP,28,76,43,33,23.6,7.7,2.6,5.9,44.5,1.8,4.4,41.7,0.7,0.8,88.1,0.2,1.8,2,1.4,0.7,0.3,0.2,2,13,0,0,-0.3,F,USA,2,46,1
309,Kelly Oubre Jr.,2093040,WAS,22,74,41,33,27.6,12,4.1,9.7,41.8,1.6,4.5,35.2,2.4,2.8,83.3,0.8,3.8,4.6,1.2,1.1,0.9,0.4,2.9,22.4,0,0,-1,F,USA,1,15,1
310,Juancho Hernangomez,2076840,DEN,22,23,13,10,11.1,3.3,1.2,3,39.1,0.5,1.9,27.3,0.4,0.5,83.3,0.7,1.6,2.3,0.4,0.3,0.3,0.1,0.9,7.5,0,0,-0.8,F,Spain,1,15,1
311,TJ Leaf,2028360,IND,20,50,30,20,8.6,2.8,1.1,2.4,47.1,0.4,0.8,46.2,0.2,0.2,66.7,0.5,1,1.5,0.2,0.2,0.1,0.1,0.9,5.2,0,0,-1.4,F,USA,1,18,1
312,Tim Frazier,2000000,WAS,27,54,30,24,14.6,3.1,1.2,3,39.8,0.3,1,29.6,0.4,0.6,76.7,0.3,1.6,2,3.4,1,0.8,0.1,1.7,12.3,0,0,-1.6,G,USA,Undrafted,Undrafted,1
313,Terry Rozier,1988520,BOS,24,75,52,23,25.5,11.4,4,9.9,40,2,5,38.9,1.5,1.9,77.3,0.8,3.8,4.6,2.7,0.9,1,0.2,1.6,23.7,1,1,1.4,G,USA,1,16,1
314,Luke Babbitt,1974159,MIA,28,48,14,34,14.2,5.3,1.9,4.3,43.9,1.2,3,40.4,0.4,0.5,77.3,0.1,1.8,1.9,0.6,0.4,0.2,0.1,1.1,9.1,0,0,-0.9,F,USA,1,16,1
315,John Collins,1936920,ATL,20,68,18,50,23.5,10.4,4.2,7.1,58.6,0.2,0.5,35.5,1.8,2.5,74,2.5,4.7,7.2,1.2,1.4,0.6,1.1,3,24.4,8,0,-3,F,USA,1,19,1
316,Rashad Vaughn,1889040,ORL,21,28,13,15,7.6,2.3,0.8,2,41.1,0.5,1.3,37.8,0.1,0.2,66.7,0.1,0.6,0.8,0.5,0.2,0.2,0.1,0.5,4.5,0,0,-0.4,G,USA,1,17,1
317,Wade Baldwin IV,1874400,POR,22,3,2,1,8.3,5.3,1.7,2.3,71.4,0.3,0.3,100,1.7,3,55.6,0,1.7,1.7,0.7,0.3,0,0,1,8,0,0,-1.7,G,USA,1,17,1
318,Sam Dekker,1794600,LAC,23,69,36,33,11.8,4,1.7,3.5,48.1,0.1,0.9,16.7,0.5,0.8,67.9,0.6,1.7,2.2,0.5,0.4,0.3,0.1,0.9,8.3,0,0,0.3,F,USA,1,18,1
319,Terrance Ferguson,1785000,OKC,19,59,35,24,12.3,2.9,1.1,2.7,40.9,0.6,1.9,31.8,0.2,0.2,90,0.3,0.4,0.7,0.3,0.2,0.4,0.2,1.3,5.8,0,0,-1.7,G,USA,1,21,1
320,Henry Ellenson,1780800,DET,21,31,17,14,6.4,2.6,1,3,33,0.4,1.2,30.6,0.3,0.4,75,0.3,1.5,1.7,0.4,0.4,0.1,0,0.4,5.2,0,0,0.1,F,USA,1,18,1
321,Eric Moreland,1739333,DET,26,60,28,32,11.2,1.8,0.8,1.6,51.6,0,0,0,0.2,0.4,38.5,1.2,2.7,3.8,1.1,0.6,0.4,0.7,1.7,10.7,1,0,-0.5,F,USA,Undrafted,Undrafted,1
322,Jerian Grant,1713840,CHI,25,68,22,46,22.4,8.1,2.7,6.5,41.2,0.8,2.4,33.5,1.9,2.5,75.6,0.5,2,2.4,4.7,1.2,0.8,0.1,1.7,19.5,5,0,-3.1,G,USA,1,19,1
323,Jarrett Allen,1713720,BKN,19,65,21,44,19.6,8.1,3.2,5.5,58.4,0,0.2,23.1,1.6,2,78.9,2.1,3.3,5.4,0.7,1.1,0.4,1,2,18.8,4,0,-2.4,C,USA,1,22,1
324,Mike Scott,1709538,WAS,29,69,37,32,18.1,8.5,3.5,6.7,52.8,0.8,2.1,40.6,0.6,0.9,66.7,0.6,2.6,3.2,1,1.1,0.3,0.1,1.9,14.1,0,0,-1.2,F,USA,2,43,1
325,Tyler Zeller,1709538,MIL,28,60,24,36,16.4,6.5,2.8,5.1,54.3,0.2,0.5,35.7,0.8,1.2,69.4,1.6,3,4.5,0.7,0.8,0.3,0.6,1.8,14.6,0,0,0.4,C,USA,1,17,1
326,Quincy Acy,1709538,BKN,27,63,22,41,19.5,5.6,1.7,5.1,34.1,1.4,4.1,33.5,0.7,0.9,82.1,0.6,3.2,3.8,0.8,0.9,0.5,0.4,2.1,13,0,0,-1,F,USA,2,37,1
327,Malik Beasley,1700640,DEN,21,60,32,28,9.7,3.2,1.2,3,40.7,0.5,1.4,33.3,0.3,0.5,69,0.2,1,1.2,0.5,0.4,0.3,0.1,0.6,6.1,0,0,-0.4,G,USA,1,19,1
328,Delon Wright,1645200,TOR,25,62,45,17,20.7,8.1,3,6.2,47.3,0.8,2.2,37.8,1.4,1.7,83,0.7,2.1,2.8,2.9,1.1,1,0.5,1.1,19.3,1,0,3.8,G,USA,1,20,1
329,OG Anunoby,1645200,TOR,20,67,47,20,20,5.7,2.1,4.7,45.8,0.9,2.6,35.8,0.5,0.8,63.6,0.6,1.8,2.4,0.8,0.6,0.7,0.2,1.7,11.9,0,0,3.9,F,United Kingdo...,1,23,1
330,Ante Zizic,1645200,CLE,21,28,18,10,6.6,3.5,1.5,2,71.9,0,0,0,0.5,0.7,75,0.8,1.1,1.9,0.2,0.4,0,0.5,0.9,7.1,0,0,-0.9,F,Croatia,1,23,1
331,Caris LeVert,1632480,BKN,23,65,22,43,26,12.1,4.5,10.4,43.5,1.2,3.4,35.4,1.9,2.7,71.1,0.8,2.9,3.7,4.1,2.2,1.1,0.3,2.2,24.7,2,0,-3.9,G,USA,1,20,1
332,Justin Anderson,1579440,PHI,24,33,22,11,14.1,6,2.2,5.3,42.5,0.8,2.6,32.6,0.7,0.9,73.3,0.6,1.8,2.4,0.7,0.4,0.4,0.2,1.5,11.1,0,0,-2.8,G,USA,1,21,1
333,Tyler Lydon,1579440,DEN,21,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,F,USA,1,24,1
334,Jeff Withey,1577320,DAL,28,9,2,7,4.4,1.7,0.7,1.8,37.5,0.2,1.1,20,0.1,0.2,50,0.1,1,1.1,0,0.2,0,0.3,0.3,3.8,0,0,2.3,C,USA,2,39,1
335,Ian Clark,1577230,NOP,27,70,40,30,19.5,7.2,2.9,6.6,43.9,0.8,2.6,29.7,0.6,0.8,75.9,0.1,1.6,1.7,1.4,0.8,0.4,0.1,1.7,12.3,0,0,0.3,G,USA,Undrafted,Undrafted,1
336,Shabazz Muhammad,1577230,MIL,25,40,23,17,9.5,4.6,1.9,4.2,44.9,0.2,0.6,24,0.7,1,74.4,0.5,1.1,1.6,0.4,0.2,0.2,0.1,0.7,7.9,0,0,-3.2,G,USA,1,14,1
337,Willie Reed,1577230,DET,27,42,20,22,10.2,4.6,1.9,2.9,66.9,0,0,50,0.8,1.3,58.2,0.8,2,2.9,0.2,0.5,0.2,0.5,1.3,10.2,1,0,0.4,C,USA,Undrafted,Undrafted,1
338,DeAndre Liggins,1577230,NOP,29,54,30,24,13.1,1.9,0.7,1.9,39.6,0.4,1,36.5,0,0.1,40,0.1,1.3,1.4,0.8,0.4,0.7,0.3,1.5,7.3,0,0,-3.7,G,USA,2,53,1
339,DeAndre' Bembry,1567200,ATL,23,21,5,16,17.3,4.9,1.9,4.8,39.6,0.4,1.1,33.3,0.7,1.2,60,0.4,2.3,2.7,1.5,1.8,0.6,0.5,1.5,11.8,0,0,-4.4,F,USA,1,21,1
340,Joffrey Lauvergne,1524305,SAS,26,51,27,24,10.2,4.4,1.9,3.6,52.2,0,0.1,0,0.6,0.9,64.4,1.2,2.1,3.3,0.7,0.6,0.2,0.1,0.9,9.5,1,0,-1.1,C,France,2,55,1
341,Jerami Grant,1524305,OKC,24,76,44,32,20.4,8.2,3,5.7,52.3,0.4,1.4,28.7,1.8,2.8,65.3,1.1,2.9,4,0.7,0.7,0.4,0.9,2,17.2,2,0,-0.2,F,USA,2,39,1
342,Johnny O'Bryant III,1524305,CHA,24,36,15,21,10.5,4.8,1.9,4.8,39.8,0.4,1.2,32.6,0.6,0.7,84,0.8,1.8,2.6,0.4,0.4,0.3,0.2,1.3,9.3,0,0,-2.4,F,USA,2,36,1
343,Tyler Ennis,1524305,LAL,23,47,20,27,10.9,3.3,1.4,3.4,40.4,0.2,0.9,23.8,0.3,0.4,70,0.3,1.2,1.4,1.6,0.5,0.4,0.1,1.3,8.5,1,0,-1.1,G,Canada,1,18,1
344,Julyan Stone,1524305,CHA,29,17,8,9,4.3,0.4,0.1,0.3,40,0.1,0.3,40,0.1,0.1,50,0,1.2,1.2,0.8,0.2,0.1,0.1,0.6,3.3,0,0,0.2,G,USA,Undrafted,Undrafted,1
345,Sean Kilpatrick,1524305,CHI,28,46,20,26,10.6,4.8,1.5,4.7,33.2,0.7,2.4,27,1.1,1.2,92.5,0.1,1.4,1.5,0.8,0.6,0.2,0,0.6,7.8,0,0,-1.8,G,USA,Undrafted,Undrafted,1
346,Spencer Dinwiddie,1524305,BKN,24,74,24,50,28.9,12.7,4.1,10.6,38.7,1.7,5.3,32.4,2.8,3.4,82.1,0.5,2.7,3.3,6.5,1.5,0.9,0.3,2.4,28.3,6,0,-0.9,G,USA,2,38,1
347,Joe Harris,1524305,BKN,26,73,24,49,25.2,10.6,3.8,7.8,48.6,1.9,4.5,41.5,1.1,1.3,83.2,0.7,2.7,3.4,1.6,1.1,0.4,0.2,2,17.9,2,0,-2.1,F,USA,2,33,1
348,Shane Larkin,1524305,BOS,25,50,37,13,13.7,4.2,1.5,3.9,39.2,0.6,1.5,38.7,0.6,0.7,90.9,0.2,1.3,1.5,1.5,0.6,0.5,0,1,9.4,0,0,0.5,G,USA,1,18,1
349,Glenn Robinson III,1524305,IND,24,17,11,6,13.6,3.2,1.3,3.4,38.6,0.3,1.1,27.8,0.4,0.4,85.7,0.5,1,1.5,0.7,0.1,0.6,0.1,0.6,8.1,0,0,1.6,G,USA,2,40,1
350,Bobby Brown,1524305,HOU,33,20,17,3,5.7,2.5,1,2.9,32.8,0.6,2,27.5,0.1,0.1,50,0,0.4,0.4,0.6,0.5,0.2,0,0.3,3.9,0,0,-3,G,USA,Undrafted,Undrafted,1
351,Bobby Portis,1516320,CHI,23,67,23,44,22.6,13.1,5.2,11.1,46.4,1.1,3.1,35,1.7,2.3,77.5,2.3,4.6,6.8,1.7,1.3,0.7,0.3,1.8,25.5,12,0,-0.8,F,USA,1,22,1
352,Malachi Richardson,1504560,TOR,22,26,8,18,12.4,3.4,1.2,3.5,33.3,0.5,1.5,30,0.7,0.8,77.3,0.2,1.1,1.3,0.5,0.4,0.4,0,1,6.6,0,0,-2.2,G,USA,1,22,1
353,Norman Powell,1471382,TOR,24,63,47,16,15.6,5.7,2.2,5.4,40.5,0.8,2.6,29.7,0.5,0.6,82.1,0.2,1.5,1.7,1.3,1,0.5,0.2,1.7,10.9,0,0,-0.3,F,USA,2,46,1
354,Josh Richardson,1471382,MIA,24,75,41,34,33.3,13,5,10.9,45.4,1.6,4.3,38.2,1.5,1.7,84,0.9,2.5,3.4,2.9,1.8,1.5,0.9,2.5,26.9,0,0,0.7,F,USA,2,40,1
355,Rondae Hollis-Jefferson,1471382,BKN,23,61,22,39,28.3,14.4,5.2,11,47.3,0.2,0.8,24.5,3.8,4.9,78.5,1.6,5.1,6.7,2.4,1.7,0.9,0.7,2.2,29.1,10,0,-2.7,F,USA,1,23,1
356,Tyus Jones,1471382,MIN,21,77,44,33,17.8,5,1.8,3.9,46.2,0.5,1.5,33.9,0.9,1,89.5,0.2,1.5,1.7,2.8,0.7,1.1,0.1,1.3,14,0,0,2.1,G,USA,1,24,1
357,Jarell Martin,1471382,MEM,23,71,21,50,22.6,7.6,3,6.7,44.1,0.4,1.3,33.3,1.2,1.6,77.7,1.3,3,4.4,1,1.2,0.5,0.7,2.9,16.8,2,0,-3.2,F,USA,1,25,1
358,Larry Nance Jr.,1471382,CLE,25,60,28,32,22.1,9,3.8,6.5,58.7,0,0.2,16.7,1.4,2.1,66.4,2.5,4.5,7,1.3,0.8,1.4,0.6,2.8,24.5,11,0,0.4,F,USA,1,27,1
359,Troy Williams,1471382,NYK,23,20,7,13,13.7,6.1,2.4,5.1,47.5,0.5,1.8,25.7,0.9,1.4,63,1,2,3,0.7,0.9,1,0.2,1.6,13.3,0,0,-1.9,F,USA,Undrafted,Undrafted,1
360,Chris McCullough,1471382,WAS,23,19,11,8,4.7,2.4,0.9,2.2,42.9,0.1,0.4,12.5,0.5,0.7,64.3,0.4,0.9,1.3,0.2,0.1,0,0.3,0.4,5,0,0,-0.8,F,USA,1,29,1
361,Raul Neto,1471382,UTA,25,39,27,12,12.3,4.6,1.7,3.8,45.6,0.5,1.2,41.3,0.7,0.8,78.8,0.2,1,1.2,1.8,0.8,0.3,0.1,0.9,9.1,0,0,3,G,Brazil,2,47,1
362,Pat Connaughton,1471382,POR,25,76,47,29,18.3,5.5,2,4.9,41.4,0.9,2.6,34.8,0.5,0.6,83.7,0.4,1.5,1.9,1.1,0.5,0.3,0.3,1.5,10.6,0,0,2,G,USA,2,41,1
363,Richaun Holmes,1471382,PHI,24,41,23,18,14.8,5.9,2.5,4.9,51.8,0.1,0.8,12.9,0.8,1.2,66.7,1.2,3.1,4.3,1.2,0.5,0.4,0.5,1.9,15,1,0,-1.9,F,USA,2,37,1
364,T.J. McConnell,1471382,PHI,26,69,43,26,23.2,6.4,2.8,5.6,50,0.4,0.9,42.4,0.4,0.6,79.5,0.5,2.6,3.1,4.1,1.6,1.2,0.2,1.7,18.8,2,1,-1.5,G,USA,Undrafted,Undrafted,1
365,Josh Huestis,1471382,OKC,26,66,41,25,14.7,2.3,0.9,2.7,33,0.5,1.7,28.3,0.1,0.3,27.8,0.6,1.8,2.4,0.3,0.4,0.2,0.7,1.2,8,0,0,1.7,G,USA,1,29,1
366,Jordan Mickey,1471382,MIA,23,22,14,8,12.6,4,1.7,3.5,47.4,0,0.6,7.1,0.5,0.8,66.7,0.8,2.8,3.6,0.4,0.8,0.3,0.5,1.6,10.3,0,0,-1.5,C,USA,2,33,1
367,Montrezl Harrell,1471382,LAC,24,70,38,32,16.3,10.6,4.3,6.8,63.9,0,0.1,0,1.9,2.9,64.7,1.4,2.6,3.9,0.8,0.9,0.4,0.7,1.8,19,0,0,0.9,F,USA,2,32,1
368,Joe Young,1471382,IND,25,50,27,23,10.4,3.8,1.5,3.4,43.3,0.4,1.2,36.7,0.4,0.6,75.9,0.2,1,1.2,0.7,0.5,0.3,0,0.7,6.8,0,0,-1,G,USA,2,43,1
369,Kevon Looney,1471382,GSW,22,60,42,18,12.8,3.7,1.5,2.7,57.5,0,0.1,25,0.6,1.1,52.9,1.2,1.9,3.1,0.6,0.5,0.5,0.8,1.5,11.6,0,0,1.9,F,USA,1,30,1
370,Nikola Jokic,1471382,DEN,23,69,38,31,32,17.8,6.4,13,49.7,1.4,3.6,39.2,3.5,4.1,85,2.7,7.9,10.6,6,2.8,1.2,0.8,2.8,42.5,33,8,4.4,C,Serbia,2,41,1
371,Salah Mejri,1471382,DAL,31,59,20,39,12,3.5,1.5,2.3,64.4,0,0.1,0,0.6,1,58.3,1.4,2.7,4.1,0.6,0.6,0.4,1.1,2,13.1,1,0,0.3,C,Tunisia,Undrafted,Undrafted,1
372,Caleb Swanigan,1465920,POR,20,22,14,8,7,2,0.8,2.2,36.7,0,0.3,14.3,0.4,0.6,61.5,0.6,1.2,1.8,0.5,0.6,0.2,0.1,1.4,5.5,0,0,-1,F,USA,1,26,1
373,Furkan Korkmaz,1465920,PHI,20,10,7,3,6.1,1.5,0.5,2.1,23.8,0.3,1.3,23.1,0.2,0.4,50,0.2,0.7,0.9,0.3,0.2,0.1,0.1,0.7,3.4,0,0,-4.2,G,Turkey,1,26,1
374,Willy Hernangomez,1435750,CHA,23,42,18,24,8.9,4.2,1.7,3.1,54.2,0.1,0.2,33.3,0.8,1.4,55.9,1.1,1.9,3,0.6,0.8,0.3,0.3,1.2,9.9,2,0,-0.5,C,Spain,2,35,1
375,Kyle Kuzma,1423560,LAL,22,73,33,40,31,16,6.1,13.4,45.3,2.1,5.6,36.6,1.9,2.6,71.4,1.2,5.2,6.4,1.9,1.7,0.6,0.5,2.1,28,17,0,-1.5,F,USA,1,27,1
376,Tony Bradley,1414920,UTA,20,9,6,3,3.2,0.9,0.3,1.2,27.3,0,0.1,0,0.2,0.2,100,0.4,0.8,1.2,0.1,0,0,0,0.1,2.5,0,0,0.1,C,USA,1,28,1
377,Derrick White,1404600,SAS,23,17,7,10,8.2,3.2,0.9,1.9,48.5,0.5,0.8,61.5,0.8,1.2,70,0.3,1.2,1.5,0.5,0.4,0.2,0.2,0.5,6.7,0,0,1.8,G,USA,1,29,1
378,Josh Hart,1394520,LAL,23,56,25,31,21.7,6.7,2.4,5.3,46.3,1.1,2.8,39.1,0.8,1.2,66.7,0.6,3.3,3.9,1.2,0.6,0.7,0.2,1.6,15.3,7,0,-1.5,G,USA,1,30,1
379,Timothe Luwawu-Cabarrot,1386600,PHI,22,52,29,23,15.5,5.8,1.9,5.1,37.5,1,3,33.5,0.9,1.1,79.3,0.3,1.1,1.4,1,0.7,0.2,0.1,1.9,9.2,0,0,-0.1,G,France,1,24,1
380,Brice Johnson,1331160,MEM,23,18,2,16,5.5,2.4,1.1,2.3,47.6,0,0.1,0,0.2,0.3,60,0.5,1.2,1.7,0.1,0.3,0.5,0.3,0.7,6.8,0,0,-0.4,F,USA,1,25,1
381,Pascal Siakam,1312611,TOR,23,74,55,19,20.6,7.4,3.2,6.2,51.3,0.4,1.7,21.6,0.7,1.1,64.6,1,3.5,4.5,1.9,0.8,0.8,0.5,2,18.8,0,0,4.1,F,Cameroon,1,27,1
382,Dejounte Murray,1312611,SAS,21,75,44,31,21.1,7.7,3.3,7.4,44.4,0.1,0.4,29,1.1,1.5,69.8,1.3,4.3,5.6,2.9,1.6,1.1,0.4,1.9,21.7,6,0,2.1,G,USA,1,29,1
383,Skal Labissiere,1312611,SAC,22,58,18,40,20.6,8.8,3.4,7.6,45.4,0.3,0.8,39.1,1.6,2,79.8,1.6,3.1,4.7,1.2,1.1,0.4,0.8,2.2,18.8,3,0,-1.9,F,Haiti,1,28,1
384,Deyonta Davis,1312611,MEM,21,56,15,41,14.3,5.5,2.4,4,61.7,0,0,0,0.6,0.9,67.3,1.1,2.6,3.8,0.6,0.5,0.2,0.6,2,13,1,0,-2.7,C,USA,2,31,1
385,Damian Jones,1312611,GSW,22,8,3,5,4.2,1,0.4,0.5,75,0,0,0,0.3,0.3,100,0.4,0.4,0.8,0,0.3,0,0.1,0.8,2,0,0,0.9,C,USA,1,30,1
386,Wayne Selden,1312611,MEM,23,34,10,24,19.5,9.1,3.2,7.5,42.7,1.4,3.5,39.8,1.3,1.7,75.4,0.4,1.1,1.6,1.9,1.5,0.5,0.1,1.6,14.2,0,0,-2.6,G,USA,Undrafted,Undrafted,1
387,Cheick Diallo,1312611,NOP,21,46,24,22,11,5,2,3.4,57.6,0,0,0,1,1.3,79.3,0.8,3.2,4.1,0.3,0.5,0.2,0.4,1.5,11.8,3,0,-1.9,F,Mali,2,33,1
388,Joel Bolomboy,1312611,MIL,24,6,3,3,6.3,1.5,0.5,1,50,0,0.2,0,0.5,1,50,1,0.7,1.7,0,0.3,0.3,0,0.5,4.2,0,0,-2,F,Ukraine,2,52,1
389,Bryn Forbes,1312611,SAS,24,74,43,31,19.1,7,2.6,6.2,42,1.1,2.9,38.9,0.6,0.9,64.7,0.1,1.3,1.4,1,0.5,0.4,0,1.4,10.8,0,0,1.4,G,USA,Undrafted,Undrafted,1
390,Davis Bertans,1312611,SAS,25,72,40,32,14.7,6.2,2.2,5,43.6,1.3,3.4,37.2,0.6,0.7,81.6,0.3,1.8,2.1,1,0.5,0.4,0.4,1.3,11.9,0,0,1.4,C,Latvia,2,42,1
391,Jake Layman,1312611,POR,24,31,19,12,5,1,0.4,1.4,27.3,0.1,0.6,21.1,0.1,0.1,66.7,0.1,0.3,0.5,0.3,0.2,0.2,0.1,0.4,2.8,0,0,-1,F,USA,2,47,1
392,Tyler Ulis,1312611,PHX,22,66,18,48,22.5,7.3,2.8,7.4,38.6,0.6,2,28.5,1.1,1.3,81.6,0.3,1.4,1.7,4.1,1.7,1,0.1,1.7,17,3,0,-4,G,USA,2,34,1
393,Marcus Georges-Hunt,1312611,MIN,24,40,23,17,5.5,1.4,0.5,1.2,43.5,0.1,0.4,21.4,0.3,0.5,61.9,0.2,0.2,0.4,0.2,0.1,0.2,0,0.8,2.5,0,0,-0.8,G,USA,Undrafted,Undrafted,1
394,Malcolm Brogdon,1312611,MIL,25,46,24,22,30.5,13.3,5.2,10.6,48.7,1.3,3.4,37.8,1.6,1.8,88.2,0.5,2.8,3.3,3.2,1.4,0.9,0.3,2.8,24.2,1,0,-1.2,G,USA,2,36,1
395,Rodney McGruder,1312611,MIA,26,14,9,5,16.9,4.9,2,4.1,48.3,0.8,1.9,40.7,0.1,0.3,50,0.6,1.2,1.8,0.8,0.2,0.5,0.1,1.1,10,0,0,2.2,G,USA,Undrafted,Undrafted,1
396,Andrew Harrison,1312611,MEM,23,56,17,39,23.7,9.5,3.2,7.7,42.2,0.8,2.5,33.1,2.2,2.8,78,0.4,1.9,2.3,3.2,1.4,0.7,0.5,2.5,19,0,0,-3.6,G,USA,2,44,1
397,Ivica Zubac,1312611,LAL,21,36,17,19,7.7,3.4,1.3,2.4,51.7,0,0,0,0.9,1.1,78,0.8,1.4,2.3,0.4,0.6,0.1,0.2,0.9,7.2,1,0,0.6,C,Croatia,2,32,1
398,Patrick McCaw,1312611,GSW,22,56,40,16,16.9,4,1.6,3.9,40.6,0.3,1.4,24.1,0.4,0.6,75.8,0.3,1.1,1.4,1.4,0.7,0.7,0.2,1.2,9.8,0,0,-1.8,G,USA,2,38,1
399,Dorian Finney-Smith,1312611,DAL,24,16,4,12,17.4,4.1,1.4,3.9,37.1,0.7,2.4,28.2,0.5,0.7,72.7,0.8,2.1,2.8,0.9,0.9,0.4,0.2,1.8,9.6,0,0,1.8,F,USA,Undrafted,Undrafted,1
400,Yogi Ferrell,1312611,DAL,24,76,23,53,28.7,10.4,3.9,9.1,42.9,1.6,4.4,37.4,1,1.3,79.8,0.3,2.9,3.2,2.4,1,0.8,0.1,2,19.6,3,0,0.1,G,USA,Undrafted,Undrafted,1
401,Treveon Graham,1312611,CHA,24,62,28,34,16.7,4.4,1.5,3.6,43.4,0.6,1.6,41.2,0.7,0.9,71.9,0.7,1.3,2,0.9,0.4,0.5,0,1.7,9.4,0,0,-1.6,G,USA,Undrafted,Undrafted,1
402,David Nwaba,1312611,CHI,25,64,24,40,23.1,7.7,2.8,5.5,49.9,0.3,0.7,36.4,2,3.1,64.8,1.2,3.3,4.5,1.4,1,0.8,0.5,2.2,18,2,0,-3.2,F,USA,Undrafted,Undrafted,1
403,Paul Zipser,1312611,CHI,24,54,17,37,15.3,4,1.5,4.3,34.6,0.7,2,33.6,0.4,0.5,73.1,0.2,2.2,2.4,0.9,0.8,0.4,0.3,1.6,9.4,0,0,-4,F,Germany,2,48,1
404,Isaiah Whitehead,1312611,BKN,23,16,2,14,11.2,6.3,2.5,5.4,46.5,0.4,1.1,38.9,0.8,1.2,68.4,0.3,1.4,1.6,1.3,1.5,0.5,0.1,1.4,10.5,0,0,-0.6,G,USA,2,42,1
405,Okaro White,1312611,CLE,25,6,2,4,13.3,3.3,1.2,2.7,43.8,0.7,1.8,36.4,0.3,0.5,66.7,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1,6.9,0,0,-0.2,F,USA,Undrafted,Undrafted,1
406,Nicolas Brussino,1312611,ATL,25,4,0,4,2.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0.9,0,0,4.3,F,Argentina,Undrafted,Undrafted,1
407,Isaiah Taylor,1312611,ATL,23,61,15,46,16.4,6.3,2.3,5.3,43,0.3,1,26.6,1.5,2.2,69.9,0.3,1,1.4,2.9,1.1,0.5,0.2,1.7,13.1,0,0,-0.1,G,USA,Undrafted,Undrafted,1
408,Kay Felder,1312611,DET,23,15,5,10,9.1,3.7,1.3,4.5,29.4,0.3,1.3,21.1,0.7,0.8,91.7,0.1,0.9,1,1.3,1.1,0.2,0.1,0.7,6.6,0,0,-3.3,G,USA,2,54,1
409,Fred VanVleet,1312611,TOR,24,70,52,18,20.2,8.7,3.1,7.2,43,1.4,3.4,41.4,1.1,1.4,83.2,0.3,2.2,2.5,3.2,1,0.9,0.3,1.8,19.1,0,0,5.1,G,USA,Undrafted,Undrafted,1
