ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
410,Derrick Jones Jr.,1312611,MIA,21,18,8,10,12.9,2.8,1,2.6,38.3,0.1,0.9,12.5,0.7,1.1,65,1.1,0.8,1.9,0.4,0.3,0.2,0.7,1.3,8.3,0,0,-2.1,F,USA,Undrafted,Undrafted,1
411,Semi Ojeleye,1291892,BOS,23,66,47,19,15.1,2.4,0.8,2.4,31.6,0.5,1.7,30.6,0.3,0.6,59,0.5,1.5,2,0.3,0.3,0.3,0,1.2,5.9,0,0,-2.2,F,USA,2,37,1
412,Frank Mason,1184385,SAC,23,48,15,33,19.2,8.2,2.9,7.4,38.8,0.6,1.6,36.8,1.9,2.2,83.2,0.6,1.9,2.5,2.9,1.3,0.7,0.2,1.4,17,0,0,-0.2,G,USA,2,34,1
413,Abdel Nader,1167333,BOS,24,41,30,11,10.7,3.1,1,3,34.7,0.5,1.4,37.3,0.5,0.8,60.6,0.2,1.1,1.4,0.5,0.7,0.3,0.2,1,6.4,0,0,-2.6,F,Egypt,2,58,1
414,Damyean Dotson,1100000,NYK,23,38,9,29,8.6,2.9,1.2,2.8,41.5,0.4,1.2,31.1,0.3,0.4,71.4,0.2,1.2,1.4,0.6,0.3,0.2,0,0.6,5.8,0,0,-0.8,G,USA,2,44,1
415,Isaiah Canaan,1069308,PHX,26,20,9,11,21.1,8.6,2.6,6.9,38,1.1,3.3,33.3,2.3,2.6,90.2,0.3,2,2.3,3.8,1.5,0.8,0.1,1.8,18.1,0,0,1,G,USA,2,34,1
416,Wes Iwundu,1050000,ORL,23,55,15,40,14.9,3.3,1.4,3.1,43.6,0.1,0.6,18.2,0.5,0.7,77.8,0.5,1.7,2.1,0.9,0.4,0.5,0.2,1.2,8.9,0,0,-2.2,F,USA,2,33,1
417,Ivan Rabb,950000,MEM,21,30,5,25,11.7,4.4,1.9,3.3,58,0,0,0,0.6,0.7,77.3,1.3,2.1,3.4,0.8,0.9,0.3,0.2,1.4,10.3,1,0,-2.3,F,USA,2,35,1
418,Ike Anigbogu,950000,IND,19,10,5,5,2.8,1.3,0.4,0.9,44.4,0,0,0,0.5,0.6,83.3,0.5,0.4,0.9,0,0.2,0.1,0.3,0.1,3.4,0,0,-0.8,C,USA,2,47,1
419,Gerald Green,947248,HOU,32,35,30,5,22.1,11.5,3.9,9.9,39.7,2.6,7.1,36.4,1.1,1.4,81.3,0.4,2.7,3.1,0.6,0.6,0.6,0.3,2.1,18.3,0,0,3.7,G,USA,1,18,1
420,Jordan Bell,815615,GSW,23,50,39,11,14.6,4.7,2.1,3.3,63,0,0.1,0,0.6,0.8,69,1.1,2.6,3.8,1.9,0.9,0.7,1.1,1.8,16.4,1,0,3,C,USA,2,38,1
421,Dakari Johnson,815615,OKC,22,29,19,10,5.5,1.9,0.8,1.3,56.4,0,0,0,0.4,0.7,55,0.6,0.6,1.2,0.3,0.1,0.2,0.3,0.9,5.1,0,0,1.2,C,USA,2,48,1
422,Sterling Brown,815615,MIL,23,49,24,25,14.4,4.2,1.6,3.8,41.5,0.6,1.7,36.1,0.4,0.5,87.5,0.5,2.2,2.7,0.4,0.5,0.6,0.2,1.4,10.2,0,0,-0.8,G,USA,2,46,1
423,Dillon Brooks,815615,MEM,22,76,21,55,28.5,10.2,3.9,8.9,43.8,1.1,3.1,35.8,1.3,1.7,73.8,0.6,2.4,3,1.4,1.4,0.8,0.2,3,17.6,0,0,-2.9,F,Canada,2,45,1
424,Jawun Evans,815615,LAC,21,48,24,24,16.2,4.8,1.9,5.3,35.2,0.3,1.1,27.8,0.8,1,77.6,0.2,1.6,1.8,2.1,0.9,0.8,0.1,2,11.7,0,0,0.2,G,USA,2,39,1
425,Sindarius Thornwell,815615,LAC,23,67,35,32,15.3,3.6,1.3,3,42.6,0.3,0.8,34,0.8,1.1,68.8,0.4,1.4,1.9,0.8,0.7,0.6,0.3,1.6,9.3,0,0,-1,G,USA,2,48,1
426,Dwayne Bacon,815615,CHA,22,52,25,27,13.4,3.3,1.3,3.6,37.6,0.2,0.8,26.2,0.4,0.5,80,0.1,2.3,2.4,0.7,0.4,0.3,0,0.9,7.8,0,0,0.2,F,USA,2,40,1
427,Tyler Dorsey,815615,ATL,22,50,12,38,16.2,6.1,2.2,6.2,35.2,1.1,3.3,33.1,0.7,1,68.8,0.3,2,2.2,1.4,0.6,0.3,0.1,1,11.3,0,0,-2.7,G,USA,2,41,1
428,Davon Reed,815615,PHX,22,17,0,17,10.9,2.8,1,3.4,29.8,0.5,1.6,32.1,0.3,0.5,62.5,0.1,1.7,1.8,0.5,0.4,0.5,0.1,0.7,7.3,0,0,-4.2,G,USA,2,32,1
429,Royce O'Neale,815615,UTA,24,63,38,25,16.1,4.8,1.7,4,40.8,0.6,1.7,34,0.9,1.1,81.4,0.4,2.9,3.2,1.3,0.8,0.6,0.2,1.5,12.3,1,0,2.6,F,USA,Undrafted,Undrafted,1
430,Alfonzo McKinnie,815615,TOR,25,13,12,1,3.8,1.5,0.5,1,53.8,0.2,0.6,37.5,0.2,0.2,66.7,0,0.5,0.5,0.1,0.2,0.1,0.1,0.6,2.4,0,0,-0.2,F,USA,Undrafted,Undrafted,1
431,Brandon Paul,815615,SAS,26,60,35,25,9.3,2.3,0.9,2,42.1,0.2,0.9,26.9,0.4,0.7,51.2,0.1,1,1.1,0.6,0.5,0.4,0.1,1,5.7,0,0,0,G,,Undrafted,Undrafted,1
432,Khem Birch,815615,ORL,25,35,11,24,12.2,3.1,1.3,2.5,50.6,0,0,0,0.6,0.9,62.5,1.5,2.1,3.7,0.6,0.5,0.3,0.4,1.3,10,1,0,0.8,C,Canada,Undrafted,Undrafted,1
433,Thomas Bryant,815615,LAL,20,11,6,5,3.1,1,0.3,0.8,33.3,0.1,0.5,20,0.4,0.5,66.7,0.1,0.5,0.5,0.2,0.1,0,0,0.2,1.8,0,0,-0.3,C,USA,2,42,1
434,Zhou Qi,815615,HOU,22,16,13,3,5.4,1.2,0.3,1.7,18.5,0.1,1,12.5,0.4,0.6,70,0.3,0.8,1.1,0.1,0.4,0.1,0.4,0.9,3.9,0,0,-3.5,F,China,2,43,1
435,Maxi Kleber,815615,DAL,26,66,19,47,16.4,5.1,2,4.2,46.9,0.5,1.7,28.6,0.7,0.9,75.4,1,2.1,3,0.7,0.4,0.4,0.6,1.6,12.4,0,0,-1.8,F,Germany,Undrafted,Undrafted,1
436,Daniel Theis,815615,BOS,25,63,44,19,14.9,5.3,2,3.7,54.1,0.3,0.9,31,1,1.3,75.3,1.4,2.9,4.3,0.9,0.9,0.5,0.8,2.5,14.6,2,0,0,F,Germany,Undrafted,Undrafted,1
437,Trey Burke,784160,NYK,25,30,8,22,19.3,12.4,5.3,10.1,52.3,1,2.6,38.5,0.9,1.4,61.9,0.4,1.4,1.8,4.1,1.1,0.6,0.1,1,21.7,2,0,-1.6,G,USA,1,9,1
438,Alex Poythress,778668,IND,24,24,10,14,4.2,1.1,0.5,1,44,0.2,0.5,36.4,0,0,0,0.3,0.4,0.7,0.1,0.1,0.1,0,0.7,2.5,0,0,-0.6,F,USA,Undrafted,Undrafted,1
439,Dwight Buycks,748160,DET,29,29,10,19,14.7,7.4,2.8,6.8,41.4,0.5,1.6,33.3,1.2,1.4,87.8,0.4,1,1.4,2,1.3,0.7,0.1,1.3,13,0,0,0.1,G,USA,Undrafted,Undrafted,1
440,Tyler Cavanaugh,679919,ATL,24,38,11,27,13.4,4.7,1.7,3.8,44.8,0.8,2.3,36,0.4,0.6,81,1.1,2.1,3.2,0.7,0.4,0.2,0.1,1.6,10.3,0,0,-0.4,F,USA,Undrafted,Undrafted,1
441,Jordan Crawford,250000,NOP,29,2,0,2,18.7,9,3.5,7,50,2,2.5,80,0,0,0,1,0.5,1.5,4.5,2,0,0.5,3,17.1,0,0,-6,G,USA,1,27,0
442,Emeka Okafor,239204,NOP,35,22,13,9,14.7,4.9,2,4.1,50,0,0,0,0.8,1,81,2.1,2.8,4.9,0.3,0.4,0.3,1.1,1.3,15.1,0,0,0.5,C,USA,1,2,0
443,Brandon Jennings,238020,MIL,28,10,6,4,15.3,5.5,1.9,4.9,38.8,0.8,2.5,32,0.9,0.9,100,0.3,1.8,2.1,3.3,1.2,0.5,0.4,0.9,14.5,1,0,-4.5,G,USA,1,10,0
444,David Stockton,148318,UTA,26,1,1,0,3,2,0,0,0,0,0,0,2,2,100,0,0,0,0,1,0,0,1,1,0,0,-5,G,USA,Undrafted,Undrafted,0
445,Larry Drew II,148318,NOP,28,9,5,4,7.2,1.9,0.8,2.4,31.8,0.3,0.9,37.5,0,0,0,0.3,0,0.3,0.9,0.3,0,0,0.7,3.3,0,0,-1.1,G,USA,Undrafted,Undrafted,0
446,Travis Wear,148318,LAL,27,13,6,7,13.3,5.2,1.7,4.4,38.6,1.2,3.2,39,0.6,0.6,100,0,2.3,2.3,0.3,0.3,0.2,0.3,1.8,9.8,0,0,2.6,F,USA,Undrafted,Undrafted,0
447,Milton Doyle,125000,BKN,24,6,0,6,10.5,3,1.2,4.2,28,0.3,2.2,15.4,0.3,0.5,66.7,0.3,1.2,1.5,0.7,0.3,0.3,0.2,0.5,7,0,0,-1.3,G,USA,Undrafted,Undrafted,0
448,Derrick Williams,104059,LAL,26,2,1,1,4.3,1,0.5,2,25,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,-2.5,F,USA,1,2,0
449,Marshall Plumlee,100000,MIL,25,8,5,3,6.5,1.8,0.1,0.4,33.3,0,0,0,1.5,2,75,0.5,1.6,2.1,0.3,0.4,0,0.1,1.3,4.7,0,0,-0.1,C,USA,Undrafted,Undrafted,0
450,Georges Niang,100000,UTA,24,6,6,0,2.4,1,0.5,1,50,0,0.2,0,0,0,0,0.2,0.3,0.5,0.5,0.3,0.3,0,0.2,3,0,0,-1,F,USA,2,50,0
451,Quinn Cook,100000,GSW,25,26,17,9,19.2,8.3,3.3,6.8,48.3,1.1,2.7,42,0.6,0.7,88.2,0.2,1.9,2.2,2.2,0.9,0.3,0,1.5,14.2,0,0,-0.8,G,USA,Undrafted,Undrafted,0
452,Demetrius Jackson,92858,PHI,23,14,11,3,5.5,1.1,0.5,1.3,38.9,0.1,0.5,14.3,0.1,0.1,50,0.4,0.5,0.9,0.6,0.8,0.4,0.1,0.5,3.5,0,0,-3.2,G,USA,2,45,0
453,Kyle Collinsworth,92160,DAL,26,27,8,19,13.8,2.7,1,2.5,38.2,0.1,0.5,30.8,0.6,1.2,50,0.9,2.1,3.1,1.4,0.7,0.6,0.2,1.3,10.1,0,0,0.1,G,USA,Undrafted,Undrafted,0
454,Josh Gray,92160,PHX,24,5,0,5,17.3,6.4,2.2,8.2,26.8,0.6,2.6,23.1,1.4,2.2,63.6,0.4,1.6,2,2.4,1.4,1.6,0.4,1.6,17,0,0,-13.8,G,USA,Undrafted,Undrafted,0
455,Naz Mitrou-Long,92160,UTA,24,1,0,1,0.5,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,G,Canada,Undrafted,Undrafted,0
456,Nigel Hayes,92160,TOR,23,4,3,1,4.2,2.3,0.8,1.3,60,0.5,1,50,0.3,0.3,100,0,0,0,0.5,0.3,0,0,0,2.8,0,0,3,F,USA,Undrafted,Undrafted,0
457,Shaquille Harrison,92160,PHX,24,18,1,17,14.1,5.7,2.1,4.7,44.7,0.2,1.1,21.1,1.2,1.7,73.3,0.3,2.3,2.6,1.7,0.8,1.1,0.3,1.8,14.7,0,0,0.6,G,USA,Undrafted,Undrafted,0
458,Rodney Purvis,92160,ORL,24,9,2,7,15.8,5.7,2,5.2,38.3,0.9,3.1,28.6,0.8,0.8,100,0,1.1,1.1,0.6,0.7,0.3,0.2,1.4,8.8,0,0,-5.1,G,USA,Undrafted,Undrafted,0
459,Jaylen Morris,92160,ATL,22,6,2,4,16.4,4.7,2.2,5.2,41.9,0.3,1.5,22.2,0,0,0,0.3,2.3,2.7,1.2,1,0.3,0.2,0.3,10.1,0,0,-7,G,USA,Undrafted,Undrafted,0
460,Antonius Cleveland,92160,ATL,24,13,5,8,6.2,0.8,0.3,1.1,28.6,0,0.1,0,0.2,0.3,50,0.2,0.6,0.8,0.2,0.2,0.5,0.3,0.8,4.1,0,0,-2.2,G,USA,Undrafted,Undrafted,0
461,Damion Lee,92160,ATL,25,9,1,8,26.4,10.4,3.8,8.9,42.5,1.1,3.9,28.6,1.8,2.3,76.2,0.3,3.8,4.1,1.9,0.7,1.4,0.1,1.3,22.2,0,0,-1.1,G,USA,Undrafted,Undrafted,0
462,Mike James,87552,NOP,27,36,11,25,19.1,9.3,3.4,8.9,38.3,0.7,2.7,26.5,1.8,2.3,76.2,0.4,2.1,2.5,3.5,1.4,0.8,0.2,1.3,19.1,0,0,-1.1,G,USA,Undrafted,Undrafted,0
463,MarShon Brooks,86119,MEM,29,2,1,1,19.9,22.5,7.5,12.5,60,3,3.5,85.7,4.5,4.5,100,1,0,1,2,1,1.5,0.5,0.5,31.7,0,0,5,G,USA,1,25,0
464,Jarell Eddie,83129,CHI,26,3,1,2,2.9,0,0,0.7,0,0,0.7,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,1.4,0,0,0.3,G,USA,Undrafted,Undrafted,0
465,Briante Weber,83129,MEM,25,18,8,10,13.1,2.8,1.1,2.4,44.2,0.2,0.6,36.4,0.4,0.6,80,0.4,1.5,1.9,1.2,0.8,1,0.3,1.6,9.9,0,0,-6.1,G,USA,Undrafted,Undrafted,0
466,Marquis Teague,83129,MEM,25,1,0,1,25.5,1,0,3,0,0,1,0,1,4,25,0,2,2,5,0,1,0,1,13.9,0,0,-17,G,USA,1,29,0
467,Aaron Harrison,83129,DAL,23,4,1,3,20.3,4.5,1.5,5.5,27.3,0.5,4,12.5,1,1.3,80,0.3,2,2.3,1,0.3,0.5,0.5,3,11.5,0,0,-6,G,USA,Undrafted,Undrafted,0
468,Adreian Payne,75000,ORL,27,5,0,5,8.5,4.2,1.4,2,70,0.4,0.6,66.7,1,1.2,83.3,0.4,1.4,1.8,0,0.4,0.4,0,1.2,7.2,0,0,-2.6,F,USA,1,15,0
469,Alec Peters,75000,PHX,22,15,0,15,10.1,2.1,0.7,3,24.4,0.5,2.5,18.4,0.2,0.2,100,0.4,1.3,1.7,0.7,0.1,0.1,0.1,0.5,5.7,0,0,0.1,F,USA,2,54,0
470,Alex Caruso,75000,LAL,24,30,14,16,13.7,2.9,1.1,2.6,42.3,0.2,0.9,22.2,0.5,0.7,68.2,0.3,1.1,1.4,1.9,1,0.6,0.3,1.3,9.1,0,0,0.6,G,USA,Undrafted,Undrafted,0
471,Antonio Blakeney,75000,CHI,21,19,3,16,16.5,7.9,2.8,7.5,37.1,0.8,2.7,28.8,1.6,2.1,76.9,0.2,1.5,1.7,1.1,0.6,0.4,0.1,1,12.3,0,0,-0.3,G,USA,Undrafted,Undrafted,0
472,Charles Cooke,75000,NOP,23,11,6,5,3,0.5,0.2,1.1,16.7,0.1,0.6,14.3,0.1,0.2,50,0,0.2,0.2,0.1,0.1,0.1,0,0,1.1,0,0,-0.5,G,USA,Undrafted,Undrafted,0
473,Chris Boucher,75000,GSW,25,1,1,0,1.3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-2,F,Canada,Undrafted,Undrafted,0
474,Daniel Hamilton,75000,OKC,22,5,4,1,5.2,2.4,1,2.2,45.5,0.4,1,40,0,0,0,0,1,1,1.4,0.4,0.2,0,0,5.9,0,0,-1.8,G,USA,2,56,0
475,Danuel House,75000,PHX,24,18,4,14,12.3,4.4,1.5,3.9,38.6,0.5,1.8,27.3,0.9,1.1,84.2,0.5,2,2.5,0.4,0.3,0.3,0.1,0.8,9.1,0,0,0.4,F,USA,Undrafted,Undrafted,0
476,Darrun Hilliard,75000,SAS,24,14,8,6,6.8,1.1,0.4,1.4,26.3,0,0.4,0,0.4,0.5,85.7,0,0.5,0.5,0.8,0.3,0.1,0,0.5,3.1,0,0,0.9,G,USA,2,38,0
477,Derrick Walton Jr.,75000,MIA,22,15,7,8,9.5,1.9,0.5,1.6,33.3,0.5,1.1,41.2,0.4,0.4,100,0.1,0.9,1.1,1,0.1,0.4,0.2,0.4,6.4,0,0,-2.3,G,USA,Undrafted,Undrafted,0
478,Isaiah Hicks,75000,NYK,23,12,2,10,12.2,3.3,1.4,3.1,45.9,0.1,0.5,16.7,0.4,0.7,62.5,0.7,1.6,2.3,0.5,0.8,0.2,0.2,2.5,7,0,0,-4.8,F,USA,Undrafted,Undrafted,0
479,JaKarr Sampson,75000,SAC,25,17,3,14,14.6,4,1.7,2.8,61.7,0.3,0.5,62.5,0.3,0.5,62.5,0.8,2.5,3.2,0.5,0.4,0.4,0.8,2.2,11.9,0,0,0.2,F,USA,Undrafted,Undrafted,0
480,Jabari Bird,75000,BOS,23,7,5,2,5,0.7,0.1,0.6,25,0,0.3,0,0.4,0.7,60,0.3,0.3,0.6,0.1,0.1,0.1,0,0.3,1.9,0,0,2.4,G,USA,2,56,0
481,Jack Cooley,75000,SAC,26,2,1,1,4.9,5,2,3.5,57.1,0,0,0,1,1,100,1.5,0.5,2,1,0,0,0,1,8.9,0,0,0.5,C,USA,Undrafted,Undrafted,0
482,Jacob Wiley,75000,BKN,23,5,1,4,6.7,0.8,0.2,0.8,25,0.2,0.4,50,0.2,0.4,50,0.4,1.8,2.2,0.4,0,0.2,0,0.8,4.6,0,0,2.6,F,USA,Undrafted,Undrafted,0
483,Jalen Jones,75000,DAL,24,13,3,10,8.2,3,1.1,2.8,38.9,0.4,0.8,45.5,0.5,0.6,75,0.6,1.2,1.8,0.2,0.2,0.2,0,1,5.7,0,0,0.4,F,USA,Undrafted,Undrafted,0
484,Jamel Artis,75000,ORL,25,9,1,8,12.6,2.3,0.9,3,29.6,0.2,1.1,20,0.3,0.6,60,0.2,1.6,1.8,1.2,0.1,0,0.1,0.6,6.5,0,0,1,G,USA,Undrafted,Undrafted,0
485,James Young,75000,PHI,22,6,4,2,10.2,2.8,0.8,2.3,35.7,0.5,1.7,30,0.7,1,66.7,0,0.3,0.3,0.3,0.2,0,0,0.7,3.6,0,0,-4.3,G,USA,1,17,0
486,John Holland,75000,CLE,29,21,15,6,6.4,1.6,0.5,1.9,28.2,0.3,1.2,28,0.2,0.3,66.7,0.2,0.7,0.9,0.2,0.2,0.3,0.1,0.4,3.8,0,0,-0.2,G,USA,Undrafted,Undrafted,0
487,Johnathan Motley,75000,DAL,22,7,1,6,7.1,4.4,1.7,2.9,60,0,0.1,0,1,2.4,41.2,0.4,2.1,2.6,0.3,0.4,0,0.3,1,8.4,0,0,2.4,F,USA,Undrafted,Undrafted,0
488,Josh Magette,75000,ATL,28,16,2,14,11.2,2.3,0.7,2.3,30.6,0.4,1.1,35.3,0.5,0.5,100,0.1,0.9,1,3.1,0.4,0.4,0,0.9,9,0,0,-0.3,G,USA,Undrafted,Undrafted,0
489,Kadeem Allen,75000,BOS,25,11,6,5,2.9,0.5,0.1,0.5,16.7,0,0.3,0,0.3,0.4,75,0.1,0.3,0.4,0.2,0.3,0.1,0,0.2,1.2,0,0,-0.3,G,USA,2,53,0
490,Kobi Simmons,75000,MEM,20,26,5,21,18.3,5.3,2.2,5.3,42.3,0.2,0.9,20.8,0.6,0.6,100,0.4,1.2,1.6,1.8,1.1,0.7,0.2,1.8,11.3,0,0,-6,G,USA,Undrafted,Undrafted,0
491,London Perrantes,75000,CLE,23,12,7,5,2.7,0.3,0.1,0.4,20,0,0.1,0,0.1,0.3,33.3,0,0.2,0.2,0.4,0.1,0,0,0.3,1,0,0,-0.9,G,USA,Undrafted,Undrafted,0
492,Lorenzo Brown,75000,TOR,27,13,8,5,8.8,1.6,0.7,1.9,36,0.1,0.6,12.5,0.2,0.2,100,0,0.8,0.8,0.9,0.2,0.3,0,0.4,4.7,0,0,3.2,G,USA,2,52,0
493,Luke Kornet,75000,NYK,22,14,4,10,14.6,5.4,2,5.8,34.6,1.1,3.9,29.6,0.2,0.3,75,0.7,2.3,3,1,0.2,0.4,0.8,0.9,13.7,1,0,-3.9,F,USA,Undrafted,Undrafted,0
494,Malcolm Miller,75000,TOR,25,15,15,0,8.4,2.5,0.9,1.9,46.4,0.5,1.4,38.1,0.3,0.3,100,0.3,0.7,1,0.2,0.3,0.1,0.1,0.7,4.3,0,0,0.5,F,USA,Undrafted,Undrafted,0
495,Mangok Mathiang,75000,CHA,25,4,3,1,5,2,1,1.8,57.1,0,0,0,0,0.3,0,0.8,1.8,2.5,0,0,0.3,0,1.3,5.8,0,0,0.3,F,Australia,Undrafted,Undrafted,0
496,Marcus Paige,75000,CHA,24,2,2,0,7.5,4.5,1.5,4,37.5,0.5,1.5,33.3,1,1,100,0,1.5,1.5,1,0,0,0,0,7.8,0,0,-0.5,G,USA,2,55,0
497,Matt Costello,75000,SAS,24,4,2,2,8.1,1,0.5,1,50,0,0,0,0,0,0,0.3,2,2.3,0.5,0.3,0.5,0.5,1.8,7.2,0,0,3.8,F,USA,Undrafted,Undrafted,0
498,Monte Morris,75000,DEN,22,3,2,1,8.4,3.3,1.3,2,66.7,0,0.3,0,0.7,0.7,100,0,0.7,0.7,2.3,0.3,1,0,0.3,10.3,0,0,-2.3,G,USA,2,51,0
499,PJ Dozier,75000,OKC,21,2,1,1,1.6,1,0.5,1,50,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,1.1,0,0,-1.5,G,USA,Undrafted,Undrafted,0
500,Ryan Arcidiacono,75000,CHI,24,18,4,14,9.4,1.7,0.6,1.2,47.6,0.3,0.9,35.3,0.2,0.2,100,0,0.6,0.6,1,0.2,0.4,0,0.6,4.9,0,0,0.1,G,USA,Undrafted,Undrafted,0
501,Torrey Craig,75000,DEN,27,33,17,16,16.1,4.7,1.8,3.7,47.5,0.5,1.5,33.3,0.7,1.1,62.9,1,2.3,3.3,0.6,0.4,0.3,0.2,1.6,10.7,0,0,-1.5,G,USA,Undrafted,Undrafted,0
502,Vincent Hunter,75000,MEM,23,4,0,4,1.9,1.5,0.8,1.3,60,0,0,0,0,0,0,0.5,0.3,0.8,0,0.3,0,0.3,0,2.9,0,0,1.5,F,USA,Undrafted,Undrafted,0
503,Scotty Hopson,74159,DAL,28,1,0,1,8.4,1,0,1,0,0,0,0,1,2,50,0,0,0,1,1,0,0,0,1.5,0,0,-8,G,,Undrafted,Undrafted,0
504,Nate Wolters,50000,UTA,26,5,3,2,3.8,0.4,0.2,1.2,16.7,0,0,0,0,0,0,0.2,0.2,0.4,0.2,0,0,0,0.2,1.2,0,0,0.6,G,,2,38,0
505,Jacob Pullen,50000,PHI,28,3,2,1,2,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,G,USA,Undrafted,Undrafted,0
506,James Michael McAdoo,50000,PHI,25,3,1,2,6,2.7,0.7,2.3,28.6,0.7,2.3,28.6,0.7,0.7,100,0,0.7,0.7,0,0.3,0,0.3,0.3,4.1,0,0,0.3,F,USA,Undrafted,Undrafted,0
507,Gary Payton II,50000,LAL,25,19,9,10,7.8,2.1,0.9,2.5,38.3,0.1,0.8,13.3,0.1,0.2,66.7,0.4,0.8,1.2,0.7,0.2,0.2,0.2,1.2,5.4,0,0,0.1,G,USA,Undrafted,Undrafted,0
508,Matt Williams Jr.,50000,MIA,24,3,1,2,3.8,1.7,0.7,2,33.3,0.3,1.7,20,0,0,0,0,0.3,0.3,0,0.3,0,0,0.3,1.7,0,0,5.3,G,USA,Undrafted,Undrafted,0
509,Vander Blue,50000,LAL,25,5,1,4,9,0.6,0.2,1,20,0,0.4,0,0.2,0.4,50,0,0.2,0.2,0.6,0.6,0.2,0,0.4,1.7,0,0,3,G,USA,Undrafted,Undrafted,0
510,Jamil Wilson,50000,LAC,27,15,6,9,18.3,7,2.5,5.4,46.9,1.8,4.2,42.9,0.1,0.3,50,0.2,1.9,2.1,0.7,0.5,0.3,0.5,2.3,12.6,0,0,-0.1,F,USA,Undrafted,Undrafted,0
511,Luis Montero,50000,DET,24,2,1,1,4,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.2,0,0,-2.5,G,Dominican Rep...,Undrafted,Undrafted,0
512,Gian Clavell,50000,DAL,24,7,0,7,9.1,2.9,0.9,2.6,33.3,0.9,2.1,40,0.3,0.3,100,0.1,0.9,1,0.4,0.3,0.3,0,1.1,5.3,0,0,3.1,G,Puerto Rico,Undrafted,Undrafted,0
513,Xavier Rathan-Mayes,46080,MEM,23,5,0,5,23.6,5.8,2.4,8.4,28.6,0.2,2.8,7.1,0.8,1.8,44.4,0,1,1,3.6,2.2,1.2,0.6,3.6,15.6,0,0,-11.8,G,Canada,Undrafted,Undrafted,0
514,Trey McKinney-Jones,46080,IND,27,1,1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,USA,Undrafted,Undrafted,0
515,Jameel Warney,46080,DAL,24,3,1,2,8.9,5.7,2.3,4,58.3,0,0,0,1,1.7,60,1.3,1.7,3,0,0.3,0,0,0.7,8.9,0,0,-1.7,F,USA,Undrafted,Undrafted,0
